# Athena++ history data
# [1]=time     [2]=dt       [3]=mass     [4]=1-mom    [5]=2-mom    [6]=3-mom    [7]=1-KE     [8]=2-KE     [9]=3-KE     [10]=tot-E   
  0.00000e+00  9.65132e-04  3.49345e+00  5.42946e-16  2.29552e+00  0.00000e+00  1.00182e+00  1.07391e+00  0.00000e+00  2.13673e+00
  5.00426e-01  6.82062e-04  3.13579e+00 -4.70835e-01  2.16184e+00  0.00000e+00  7.87176e-01  1.27806e+00  0.00000e+00  2.14227e+00
  1.00037e+00  7.09055e-04  2.96970e+00 -4.50108e-01  2.21994e+00  0.00000e+00  8.93592e-01  1.41821e+00  0.00000e+00  2.40638e+00
  1.50023e+00  7.22775e-04  2.81901e+00 -2.09656e-01  2.25639e+00  0.00000e+00  9.71750e-01  1.52785e+00  0.00000e+00  2.59849e+00
  2.00046e+00  6.82186e-04  2.71317e+00  9.92448e-02  2.15105e+00  0.00000e+00  8.80087e-01  1.42999e+00  0.00000e+00  2.41540e+00
  2.50033e+00  6.48445e-04  2.65162e+00  2.76934e-01  1.98222e+00  0.00000e+00  7.19585e-01  1.24233e+00  0.00000e+00  2.07780e+00
  3.00006e+00  6.33109e-04  2.59751e+00  3.15105e-01  1.77952e+00  0.00000e+00  5.50869e-01  1.02553e+00  0.00000e+00  1.70519e+00
  3.50049e+00  6.15947e-04  2.54775e+00  2.08197e-01  1.60850e+00  0.00000e+00  4.18663e-01  8.42554e-01  0.00000e+00  1.40612e+00
  4.00002e+00  6.13032e-04  2.51237e+00  1.45722e-02  1.53320e+00  0.00000e+00  3.41186e-01  7.69706e-01  0.00000e+00  1.27380e+00
  4.50050e+00  6.16046e-04  2.49532e+00 -1.77084e-01  1.57004e+00  0.00000e+00  3.29195e-01  8.17622e-01  0.00000e+00  1.31877e+00
  5.00037e+00  6.11301e-04  2.48210e+00 -3.36093e-01  1.68759e+00  0.00000e+00  3.93320e-01  9.47530e-01  0.00000e+00  1.51379e+00
  5.50059e+00  6.29377e-04  2.44396e+00 -3.60670e-01  1.87982e+00  0.00000e+00  5.64694e-01  1.19357e+00  0.00000e+00  1.93215e+00
  6.00059e+00  6.88646e-04  2.34822e+00 -8.30533e-02  1.89033e+00  0.00000e+00  6.24983e-01  1.23406e+00  0.00000e+00  2.03258e+00
  6.50019e+00  6.46101e-04  2.29589e+00  1.87946e-01  1.77347e+00  0.00000e+00  5.30233e-01  1.10744e+00  0.00000e+00  1.83202e+00
  7.00047e+00  6.34989e-04  2.26521e+00  2.01160e-01  1.57451e+00  0.00000e+00  3.62993e-01  8.61198e-01  0.00000e+00  1.43809e+00
  7.50058e+00  6.47005e-04  2.23864e+00  7.52288e-02  1.48156e+00  0.00000e+00  2.68205e-01  7.72848e-01  0.00000e+00  1.25369e+00
  8.00036e+00  6.50222e-04  2.21627e+00 -8.40065e-02  1.46967e+00  0.00000e+00  2.62105e-01  7.68830e-01  0.00000e+00  1.22450e+00
  8.50002e+00  6.52303e-04  2.18930e+00 -2.24709e-01  1.54625e+00  0.00000e+00  3.36974e-01  8.70235e-01  0.00000e+00  1.38053e+00
  9.00027e+00  6.59490e-04  2.14071e+00 -2.22940e-01  1.65683e+00  0.00000e+00  4.52616e-01  1.02204e+00  0.00000e+00  1.63749e+00
  9.50067e+00  6.87173e-04  2.05881e+00 -5.30999e-02  1.64903e+00  0.00000e+00  4.88548e-01  1.03840e+00  0.00000e+00  1.69009e+00
  1.00003e+01  6.63586e-04  1.98958e+00  1.14684e-01  1.55141e+00  0.00000e+00  4.10186e-01  9.45311e-01  0.00000e+00  1.53441e+00
  1.05003e+01  6.53226e-04  1.94521e+00  1.38629e-01  1.41194e+00  0.00000e+00  2.80765e-01  7.82526e-01  0.00000e+00  1.26116e+00
  1.10003e+01  6.59514e-04  1.91383e+00  6.35202e-02  1.32918e+00  0.00000e+00  1.89944e-01  7.00840e-01  0.00000e+00  1.09614e+00
